year,class,rank,Fname,site,hometown,subject
1478,第三甲,第六十九名,徐,民籍,四川,禮記
1478,第三甲,第七十名,趙,軍籍,直隸,詩經
1478,第三甲,第七十一名,魯,官籍,湖廣,春秋
1478,第三甲,第七十二名,許,民籍,直隸,詩經
1478,第三甲,第七十三名,劉,民籍,順天,書經
1478,第三甲,第七十四名,王,軍籍,直隸,禮記
1478,第三甲,第七十五名,張,民籍,山西,易經
1478,第三甲,第七十六名,胡,軍籍,河南,書經
1478,第三甲,第七十七名,袁,民籍,江西,書經
1478,第三甲,第七十八名,張,民籍,直隸,書經
1478,第三甲,第七十九名,楊,軍籍,山西,詩經
1478,第三甲,第八十名,蔣,軍籍,直隸,易經
1478,第三甲,第八十一名,鍾,民籍,江西,詩經
1478,第三甲,第八十二名,杜,民籍,直隸,詩經
1478,第三甲,第八十三名,劉,軍籍,江西,易經
1478,第三甲,第八十四名,劉,民籍,江西,詩經
1478,第三甲,第八十五名,李,官籍,直隸,詩經
1478,第三甲,第八十六名,王,軍籍,河南,禮記
1478,第三甲,第八十七名,涂,匠籍,江西,易經
1478,第三甲,第八十八名,張,民籍,直隸,詩經
1478,第三甲,第八十九名,李,民籍,直隸,易經
1478,第三甲,第九十名,曹,民籍,應天,書經
1478,第三甲,第九十一名,林,民籍,福建,詩經
1478,第三甲,第九十二名,張,軍籍,□,詩經
1478,第三甲,第九十三名,朱,官籍,山西,詩經
1478,第三甲,第九十四名,陳,匠籍,福建,易經
1478,第三甲,第九十五名,劉,民籍,江西,詩經
1478,第三甲,第九十六名,鄭,戶籍,浙江,易經
1478,第三甲,第九十七名,周,匠籍,直隸,詩經
1478,第三甲,第九十八名,陳,民籍,直隸,禮記
1478,第三甲,第九十九名,李,軍籍,山西,春秋
1478,第三甲,第一百名,陳,民籍,四川,易經
1478,第三甲,第一百零一名,茆,民籍,直隸,書經
1478,第三甲,第一百零二名,管,民籍,直隸,詩經
1478,第三甲,第一百零三名,何,軍籍,廣東,詩經
1478,第三甲,第一百零四名,許,民籍,福建,易經
1478,第三甲,第一百零五名,謝,民籍,陝西,書經
1478,第三甲,第一百零六名,王,民籍,直隸,詩經
1478,第三甲,第一百零七名,張,鹽籍,山西,書經
1478,第三甲,第一百零八名,王,軍籍,大寧,詩經
1478,第三甲,第一百零九名,才,民籍,直隸,詩經
1478,第三甲,第一百一十名,鄧,民籍,江西,易經
1478,第三甲,第一百一十一名,劉,軍籍,河南,易經
1478,第三甲,第一百一十二名,包,軍籍,廣西,書經
1478,第三甲,第一百一十三名,房,軍籍,山東,禮記
1478,第三甲,第一百一十四名,夏,官籍,湖廣,書經
1478,第三甲,第一百一十五名,蕭,官籍,南息,詩經
1478,第三甲,第一百一十六名,龔,民籍,直隸,易經
1478,第三甲,第一百一十七名,倪,民籍,直隸,詩經
1478,第三甲,第一百一十八名,張,民籍,福建,易經
1478,第三甲,第一百一十九名,熊,民籍,江西,易經
1478,第三甲,第一百二十名,李,民籍,江西,詩經
1478,第三甲,第一百二十一名,王,民籍,浙江,春秋
1478,第三甲,第一百二十二名,周,軍籍,福建,詩經
1478,第三甲,第一百二十三名,明,軍籍,四川,書經
1478,第三甲,第一百二十四名,宋,民籍,山西,易經
1478,第三甲,第一百二十五名,楊,民籍,四川,易經
1478,第三甲,第一百二十六名,牛,軍籍,山西,禮記
1478,第三甲,第一百二十七名,劉,軍籍,湖廣,詩經
1478,第三甲,第一百二十八名,吳,軍籍,福建,詩經
1478,第三甲,第一百二十九名,宋,民籍,山東,詩經
1478,第三甲,第一百三十名,汪,軍籍,直隸,書經
1478,第三甲,第一百三十一名,陳,軍籍,四川,詩經
1478,第三甲,第一百三十二名,趙,民籍,直隸,春秋
1478,第三甲,第一百三十三名,丁,軍籍,江西,詩經
1478,第三甲,第一百三十四名,孫,民籍,山東,詩經
1478,第三甲,第一百三十五名,呂,民籍,河南,春秋
1478,第三甲,第一百三十六名,周,軍籍,直隸,詩經
1478,第三甲,第一百三十七名,康,軍籍,河南,書經
1478,第三甲,第一百三十八名,章,民籍,浙江,詩經
1478,第三甲,第一百三十九名,李,民籍,陝西,易經
1478,第三甲,第一百四十名,楊,儒籍,陝西,易經
1478,第三甲,第一百四十一名,王,軍籍,河南,易經
1478,第三甲,第一百四十二名,韓,軍籍,河南,易經
1478,第三甲,第一百四十三名,杜,官籍,江西,書經
1478,第三甲,第一百四十四名,吳,民籍,河南,禮記
1478,第三甲,第一百四十五名,張,民籍,浙江,禮記
1478,第三甲,第一百四十六名,王,匠籍,應天,書經
1478,第三甲,第一百四十七名,董,軍籍,浙江,詩經
1478,第三甲,第一百四十八名,韋,軍籍,直隸,詩經
1478,第三甲,第一百四十九名,周,軍籍,山東,詩經
1478,第三甲,第一百五十名,杜,軍籍,河南,詩經
1478,第三甲,第一百五十一名,史,軍籍,直隸,禮記
1478,第三甲,第一百五十二名,褚,民籍,浙江,詩經
1478,第三甲,第一百五十三名,劉,儒籍,江西,春秋
1478,第三甲,第一百五十四名,葉,民籍,廣東,詩經
1478,第三甲,第一百五十五名,施,匠籍,浙江,易經
1478,第三甲,第一百五十六名,夏,□籍,直隸,詩經
1478,第三甲,第一百五十七名,武,軍籍,山東,書經
1478,第三甲,第一百五十八名,馬,軍籍,山東,書經
1478,第三甲,第一百五十九名,翟,民籍,直隸,詩經
1478,第三甲,第一百六十名,李,官籍,直隸,詩經
1478,第三甲,第一百六十一名,白,民籍,浙江,書經
1478,第三甲,第一百六十二名,王,民籍,浙江,春秋
1478,第三甲,第一百六十三名,王,軍籍,陝西,書經
1478,第三甲,第一百六十四名,周,軍籍,江西,春秋
1478,第三甲,第一百六十五名,蘇,民籍,福建,詩經
1478,第三甲,第一百六十六名,吳,民籍,江西,詩經
1478,第三甲,第一百六十七名,周,民籍,廣東,詩經
1478,第三甲,第一百六十八名,高,軍籍,山西,春秋
1478,第三甲,第一百六十九名,蔣,軍籍,江西,書經
1478,第三甲,第一百七十名,張,軍籍,陝西,詩經
1478,第三甲,第一百七十一名,張,軍籍,直隸,易經
1478,第三甲,第一百七十二名,胡,軍籍,河南,詩經
1478,第三甲,第一百七十三名,謝,軍籍,廣東,易經
1478,第三甲,第一百七十四名,馬,匠籍,河南,春秋
1478,第三甲,第一百七十五名,馬,軍籍,山東,詩經
1478,第三甲,第一百七十六名,鮮,民籍,四川,詩經
1478,第三甲,第一百七十七名,徐,民籍,浙江,禮記
1478,第三甲,第一百七十八名,熊,軍籍,湖廣,春秋
1478,第三甲,第一百七十九名,史,軍籍,山西,詩經
1478,第三甲,第一百八十名,尹,軍籍,湖廣,春秋
1478,第三甲,第一百八十一名,張,軍籍,山東,詩經
1478,第三甲,第一百八十二名,包,民籍,浙江,書經
1478,第三甲,第一百八十三名,黃,軍籍,湖廣,詩經
1478,第三甲,第一百八十四名,李,民籍,河南,詩經
1478,第三甲,第一百八十五名,鄭,民籍,直隸,春秋
1478,第三甲,第一百八十六名,黃,民籍,應天,禮記
1478,第三甲,第一百八十七名,杜,民籍,浙江,書經
1478,第三甲,第一百八十八名,劉,民籍,廣東,書經
1478,第三甲,第一百八十九名,汪,民籍,直隸,春秋
1478,第三甲,第一百九十名,譚,民籍,四川,書經
1478,第三甲,第一百九十一名,龍,民籍,江西,易經
1478,第三甲,第一百九十二名,唐,民籍,山東,易經
1478,第三甲,第一百九十三名,王,民籍,四川,春秋
1478,第三甲,第一百九十四名,王,民籍,山東,詩經
1478,第三甲,第一百九十五名,王,軍籍,福建,書經
1478,第三甲,第一百九十六名,徐,民籍,直隸,易經
1478,第三甲,第一百九十七名,韓,官籍,山東,禮記
1478,第三甲,第一百九十八名,吳,軍籍,江西,春秋
1478,第三甲,第一百九十九名,王,軍籍,山西,書經
1478,第三甲,第二百名,方,民籍,直隸,禮記
1478,第三甲,第二百零一名,譚,民籍,山東,書經
1478,第三甲,第二百零二名,戚,匠籍,河南,詩經
1478,第三甲,第二百零三名,劉,軍籍,江西,詩經
1478,第三甲,第二百零四名,劉,軍籍,山東,詩經
1478,第三甲,第二百零五名,張,軍籍,四川,詩經
1478,第三甲,第二百零六名,陳,民籍,湖廣,易經
1478,第三甲,第二百零七名,汪,軍籍,直隸,書經
1478,第三甲,第二百零八名,鄭,軍籍,福建,禮記
1478,第三甲,第二百零九名,魏,民籍,直隸,禮記
1478,第三甲,第二百一十名,陳,軍籍,四川,詩經
1478,第三甲,第二百一十一名,陳,匠籍,應天,書經
1478,第三甲,第二百一十二名,尹,民籍,直隸,詩經
1478,第三甲,第二百一十三名,劉,軍籍,江西,禮記
1478,第三甲,第二百一十四名,鄭,戶籍,浙江,春秋
1478,第三甲,第二百一十五名,祁,匠籍,浙江,易經
1478,第三甲,第二百一十六名,姜,□□,江西,書經
1478,第三甲,第二百一十七名,洪,民籍,直隸,禮記
1478,第三甲,第二百一十八名,侯,民籍,直隸,詩經
1478,第三甲,第二百一十九名,杜,軍籍,山西,易經
1478,第三甲,第二百二十名,杜,民籍,河南,詩經
1478,第三甲,第二百二十一名,黃,民籍,四川,書經
1478,第三甲,第二百二十二名,涂,匠籍,江西,易經
1478,第三甲,第二百二十三名,陳,民籍,四川,詩經
1478,第三甲,第二百二十四名,周,□□,湖廣,詩經
1478,第三甲,第二百二十五名,韓,民籍,陝西,書經
1478,第三甲,第二百二十六名,吳,軍籍,河南,易經
1478,第三甲,第二百二十七名,徐,軍籍,河南,書經
1478,第三甲,第二百二十八名,李,民籍,浙江,禮記
1478,第三甲,第二百二十九名,韓,民籍,山西,詩經
1478,第三甲,第二百三十名,趙,軍籍,山西,詩經
1478,第三甲,第二百三十一名,丁,軍籍,山西,禮記
1478,第三甲,第二百三十二名,金,軍籍,浙江,書經
1478,第三甲,第二百三十三名,凌,民籍,浙江,春秋
1478,第三甲,第二百三十四名,馮,軍籍,河南,詩經
1478,第三甲,第二百三十五名,古,民籍,四川,易經
1478,第三甲,第二百三十六名,張,□□,東□,易經
1478,第三甲,第二百三十七名,王,民籍,山西,易經
1400,第一甲,第一名,胡,儒籍,江西,詩經
1400,第一甲,第二名,王,民籍,江西,書經
1400,第一甲,第三名,李,民籍,江西,書經
1400,第二甲,第一名,吳,民籍,江西,春秋
1400,第二甲,第二名,朱,民籍,江西,書經
1400,第二甲,第三名,楊,民籍,福建,易經
1400,第二甲,第四名,金,民籍,江西,春秋
1400,第二甲,第五名,劉,民籍,浙江,易經
1400,第二甲,第六名,何,民籍,江西,書經
1400,第二甲,第七名,曾,民籍,福建,春秋
1400,第二甲,第八名,郇,軍籍,直隸,詩經
1400,第二甲,第九名,方,民籍,江西,易經
1400,第二甲,第十名,鄧,民籍,江西,春秋
1400,第二甲,第十一名,梁,民籍,廣東,書經
1400,第二甲,第十二名,張,民籍,直隸,春秋
1400,第二甲,第十三名,陳,竈籍,福建,書經
1400,第二甲,第十四名,吳,民籍,浙江,易經
1400,第二甲,第十五名,李,民籍,江西,書經
1400,第二甲,第十六名,顧,民籍,直隸,詩經
1400,第二甲,第十七名,劉,民籍,直隸,詩經
1400,第二甲,第十八名,楊,軍籍,湖廣,書經
1400,第二甲,第十九名,黃,民籍,四川,書經
1400,第二甲,第二十名,陳,民籍,福建,書經
1400,第二甲,第二十一名,蔣,民籍,浙江,詩經
1400,第二甲,第二十二名,葉,民籍,福建,詩經
1400,第二甲,第二十三名,傅,民籍,江西,易經
1400,第二甲,第二十四名,馮,民籍,湖廣,禮記
1400,第二甲,第二十五名,王,民籍,江西,詩經
1400,第二甲,第二十六名,李,民籍,江西,書經
1400,第二甲,第二十七名,鄧,民籍,江西,書經
1400,第二甲,第二十八名,熊,民籍,西川,詩經
1400,第二甲,第二十九名,商,民籍,浙江,詩經
1400,第二甲,第三十名,朱,民籍,直隸,詩經
1400,第二甲,第三十一名,周,民籍,直隸,詩經
1400,第二甲,第三十二名,陳,□籍,福建,春秋
1400,第二甲,第三十三名,黃,儒籍,直隸,書經
1400,第二甲,第三十四名,胡,民籍,直隸,易經
1400,第二甲,第三十五名,宋,民籍,江西,書經
1400,第二甲,第三十六名,雷,民籍,福建,易經
1400,第二甲,第三十七名,萬,民籍,江西,書經
1400,第二甲,第三十八名,秦,軍籍,直隸,書經
1400,第二甲,第三十九名,顧,軍籍,直隸,詩經
1400,第二甲,第四十名,應,民籍,浙江,詩經
1400,第二甲,第四十一名,潘,民籍,浙江,書經
1400,第三甲,第一名,李,占籍,山西,書經
1400,第三甲,第二名,張,民籍,福建,詩經
1400,第三甲,第三名,鄧,軍籍,湖廣,詩經
1400,第三甲,第四名,何,民籍,湖廣,詩經
1400,第三甲,第五名,潘,民籍,浙江,詩經
1400,第三甲,第六名,劉,民籍,江西,詩經
1400,第三甲,第七名,陳,民籍,直隸,書經
1400,第三甲,第八名,吳,民籍,福建,書經
1400,第三甲,第九名,林,軍籍,福建,書經
1400,第三甲,第十名,黃,軍籍,福建,書經
1400,第三甲,第十一名,黃,儒籍,浙江,易經
1400,第三甲,第十二名,王,民籍,直隸,禮記
1400,第三甲,第十三名,尹,民籍,直隸,詩經
1400,第三甲,第十四名,席,軍籍,山西,易經
1400,第三甲,第十五名,王,民籍,直隸,詩經
1400,第三甲,第十六名,劉,民籍,浙江,春秋
1400,第三甲,第十七名,熊,軍籍,江西,詩經
1400,第三甲,第十八名,齊,民籍,直隸,春秋
1400,第三甲,第十九名,郭,軍籍,山西,書經
1400,第三甲,第二十名,閻,民籍,山東,易經
1400,第三甲,第二十一名,嚴,儒籍,直隸,易經
1400,第三甲,第二十二名,曹,民籍,湖廣,詩經
1400,第三甲,第二十三名,劉,民籍,河南,春秋
1400,第三甲,第二十四名,劉,民籍,福建,詩經
1400,第三甲,第二十五名,任,軍籍,浙江,書經
1400,第三甲,第二十六名,盧,民籍,直隸,書經
1400,第三甲,第二十七名,李,民籍,福建,易經
1400,第三甲,第二十八名,陳,民籍,福建,易經
1400,第三甲,第二十九名,徐,軍籍,浙江,書經
1400,第三甲,第三十名,劉,儒籍,江西,春秋
1400,第三甲,第三十一名,鄭,民籍,湖廣,書經
1400,第三甲,第三十二名,劉,民籍,直隸,易經
1400,第三甲,第三十三名,楊,民籍,江西,春秋
1400,第三甲,第三十四名,唐,民籍,直隸,詩經
1400,第三甲,第三十五名,陳,民籍,直隸,春秋
1400,第三甲,第三十六名,汪,民籍,浙江,易經
1400,第三甲,第三十七名,劉,儒籍,江西,書經
1400,第三甲,第三十八名,蔣,民籍,浙江,春秋
1400,第三甲,第三十九名,葉,民籍,浙江,書經
1400,第三甲,第四十名,陳,民籍,河南,易經
1400,第三甲,第四十一名,童,民籍,浙江,春秋
1400,第三甲,第四十二名,李,民籍,山西,易經
1400,第三甲,第四十三名,王,an,直隸,易經
1400,第三甲,第四十四名,薛,民籍,浙江,詩經
1400,第三甲,第四十五名,唐,民籍,直隸,書經
1400,第三甲,第四十六名,俞,民籍,直隸,詩經
1400,第三甲,第四十七名,王,民籍,湖廣,禮記
1400,第三甲,第四十八名,李,民籍,山西,詩經
1400,第三甲,第四十九名,韓,民籍,河南,書經
1400,第三甲,第五十名,蕭,民籍,直隸,春秋
1400,第三甲,第五十一名,余,軍籍,福建,春秋
1400,第三甲,第五十二名,耿,民籍,山東,易經
1400,第三甲,第五十三名,石,民籍,江西,詩經
1400,第三甲,第五十四名,黃,民籍,福建,禮記
1400,第三甲,第五十五名,黃,民籍,浙江,詩經
1400,第三甲,第五十六名,黃,民籍,浙江,詩經
1400,第三甲,第五十七名,孫,民籍,直隸,詩經
1400,第三甲,第五十八名,余,民籍,廣東,禮記
1400,第三甲,第五十九名,顧,軍籍,河南,nan
1400,第三甲,第六十名,顧,民籍,直隸,書經
1400,第三甲,第六十一名,孫,民籍,浙江,詩經
1400,第三甲,第六十二名,馬,民籍,河南,書經
1400,第三甲,第六十三名,武,民籍,山東,書經
1400,第三甲,第六十四名,帥,民籍,江西,詩經
1400,第三甲,第六十五名,馬,民籍,平燕,春秋
1400,第三甲,第六十六名,李,軍籍,山東,書經
1481,第一甲,第一名,王,民籍,浙江,禮記
1481,第一甲,第二名,黃,民籍,浙江,禮記
1481,第一甲,第三名,張,軍籍,山東,詩經
1481,第二甲,第一名,胡,官藉,直隸,詩經
1481,第二甲,第二名,程,軍籍,廣東,春秋
1481,第二甲,第三名,宋,民籍,福建,詩經
1481,第二甲,第四名,鄭,軍籍,福建,書經
1481,第二甲,第五名,胡,民籍,應天,詩經
1481,第二甲,第六名,東,民籍,陝西,書經
1481,第二甲,第七名,楊,民籍,山西,易經
1481,第二甲,第八名,陳,民籍,直隸,書經
1481,第二甲,第九名,趙,民籍,直隸,書經
1481,第二甲,第十名,張,軍籍,河南,易經
1481,第二甲,第十一名,孫,官藉,湖廣,禮記
1481,第二甲,第十二名,喻,軍籍,湖廣,春秋
1481,第二甲,第十三名,歐,民籍,江西,詩經
1481,第二甲,第十四名,薛,民籍,直隸,易經
1481,第二甲,第十五名,魏,民籍,山東,禮記
1481,第二甲,第十六名,原,民籍,河南,書經
1481,第二甲,第十七名,劉,軍籍,湖廣,詩經
1481,第二甲,第十八名,駱,民籍,浙江,禮記
1481,第二甲,第十九名,江,軍籍,江西,詩經
1481,第二甲,第二十名,郭,民籍,江西,書經
1481,第二甲,第二十一名,沈,軍籍,直隸,易經
1481,第二甲,第二十二名,陳,民籍,直隸,詩經
1481,第二甲,第二十三名,王,軍籍,江西,詩經
1481,第二甲,第二十四名,閻,民籍,山東,易經
1481,第二甲,第二十五名,李,軍籍,直隸,書經
1481,第二甲,第二十六名,張,民籍,江西,禮記
1481,第二甲,第二十七名,李,民籍,山西,易經
1481,第二甲,第二十八名,胡,民籍,浙江,書經
1481,第二甲,第二十九名,陳,民籍,浙江,禮記
1481,第二甲,第三十名,彭,民籍,江西,易經
1481,第二甲,第三十一名,談,軍籍,直隸,春秋
1481,第二甲,第三十二名,顧,民籍,直隸,禮記
1481,第二甲,第三十三名,石,民籍,山東,易經
1481,第二甲,第三十四名,尚,軍籍,浙江,禮記
1481,第二甲,第三十五名,常,民籍,浙江,書經
1481,第二甲,第三十六名,徐,軍籍,浙江,易經
1481,第二甲,第三十七名,晏,民籍,四川,書經
1481,第二甲,第三十八名,陶,軍籍,山西,書經
1481,第二甲,第三十九名,艾,軍籍,江西,詩經
1481,第二甲,第四十名,王,民籍,浙江,易經
1481,第二甲,第四十一名,彭,民籍,福建,易經
1481,第二甲,第四十二名,王,民籍,浙江,春秋
1481,第二甲,第四十三名,毛,民籍,浙江,禮記
1481,第二甲,第四十四名,饒,民籍,江西,詩經
1481,第二甲,第四十五名,彭,民籍,福建,詩經
1481,第二甲,第四十六名,翁,民籍,浙江,易經
1481,第二甲,第四十七名,陳,民籍,直隸,易經
1481,第二甲,第四十八名,范,軍籍,直隸,書經
1481,第二甲,第四十九名,王,民籍,浙江,易經
1481,第二甲,第五十名,馬,民籍,河南,禮記
1481,第二甲,第五十一名,林,民籍,福建,詩經
1481,第二甲,第五十二名,周,官籍,直隸,詩經
1481,第二甲,第五十三名,馮,民籍,廣西,書經
1481,第二甲,第五十四名,張,官籍,直隸,書經
1481,第二甲,第五十五名,孫,軍籍,直隸,易經
1481,第二甲,第五十六名,王,軍籍,陝西,書經
1481,第二甲,第五十七名,趙,軍籍,山西,易經
1481,第二甲,第五十八名,湯,民籍,直隸,書經
1481,第二甲,第五十九名,車,民籍,山西,易經
1481,第二甲,第六十名,王,軍籍,浙江,詩經
1481,第二甲,第六十一名,富,竈籍,浙江,書經
1481,第二甲,第六十二名,陳,民籍,山東,書經
1481,第二甲,第六十三名,徐,民籍,浙江,書經
1481,第二甲,第六十四名,章,匠籍,直隸,易經
1481,第二甲,第六十五名,宋,民籍,浙江,詩經
1481,第二甲,第六十六名,孫,民籍,直隸,書經
1481,第二甲,第六十七名,婁,民籍,江西,書經
1481,第二甲,第六十八名,夏,民籍,江西,書經
1481,第二甲,第六十九名,莊,民籍,福建,禮記
1481,第二甲,第七十名,劉,民籍,四川,書經
1481,第二甲,第七十一名,胡,民籍,四川,春秋
1481,第二甲,第七十二名,趙,民籍,福建,書經
1481,第二甲,第七十三名,呂,民籍,四川,詩經
1481,第二甲,第七十四名,劉,軍籍,順天,詩經
1481,第二甲,第七十五名,何,軍籍,湖廣,易經
1481,第二甲,第七十六名,方,軍籍,直隸,書經
1481,第二甲,第七十七名,張,民籍,浙江,書經
1481,第二甲,第七十八名,翁,民籍,福建,詩經
1481,第二甲,第七十九名,顧,民籍,直隸,書經
1481,第二甲,第八十名,邵,軍籍,浙江,易經
1481,第二甲,第八十一名,陳,軍籍,福建,春秋
1481,第二甲,第八十二名,陳,軍籍,福建,詩經
1481,第二甲,第八十三名,陳,民籍,浙江,易經
1481,第二甲,第八十四名,康,軍籍,山東,易經
1481,第二甲,第八十五名,黃,民籍,浙江,詩經
1481,第二甲,第八十六名,馬,匠籍,陝西,春秋
1481,第二甲,第八十七名,韓,軍籍,陝西,詩經
1481,第二甲,第八十八名,余,民籍,江西,書經
1481,第二甲,第八十九名,吳,軍籍,應天,易經
1481,第二甲,第九十名,沈,匠籍,直隸,詩經
1481,第二甲,第九十一名,胡,軍籍,陝西,春秋
1481,第二甲,第九十二名,張,軍籍,順天,書經
1481,第二甲,第九十三名,王,匠籍,na,詩經
1481,第二甲,第九十四名,侯,民籍,直隸,書經
1481,第二甲,第九十五名,芮,民籍,直隸,書經
1481,第三甲,第一名,張,民籍,山東,易經
1481,第三甲,第二名,陳,民籍,浙江,詩經
1481,第三甲,第三名,孫,軍籍,山東,禮記
1481,第三甲,第四名,姚,民籍,江西,書經
1481,第三甲,第五名,倪,匠籍,直隸,書經
1481,第三甲,第六名,史,民籍,河南,易經
1481,第三甲,第七名,劉,軍籍,四川,易經
1481,第三甲,第八名,許,軍籍,浙江,易經
1481,第三甲,第九名,謝,民籍,直隸,春秋
1481,第三甲,第十名,郭,軍籍,福建,春秋
1481,第三甲,第十一名,馮,軍籍,直隸,春秋
1481,第三甲,第十二名,林,民籍,福建,書經
1481,第三甲,第十三名,左,匠籍,江西,易經
1481,第三甲,第十四名,王,民籍,直隸,書經
1481,第三甲,第十五名,李,軍籍,廣西,禮記
1481,第三甲,第十六名,徐,民籍,浙江,禮記
1481,第三甲,第十七名,陳,竈籍,浙江,書經
1481,第三甲,第十八名,江,民籍,江西,春秋
1481,第三甲,第十九名,王,民籍,河南,春秋
1481,第三甲,第二十名,王,醫籍,直隸,春秋
1481,第三甲,第二十一名,李,民籍,河南,詩經
1481,第三甲,第二十二名,吳,民籍,直隸,書經
1481,第三甲,第二十三名,韓,軍籍,陝西,詩經
1481,第三甲,第二十四名,張,民籍,直隸,書經
1481,第三甲,第二十五名,郭,軍籍,陝西,春秋
1481,第三甲,第二十六名,吳,民籍,廣東,書經
1481,第三甲,第二十七名,薛,民籍,直隸,詩經
1481,第三甲,第二十八名,王,戶籍,福建,詩經
1481,第三甲,第二十九名,李,官籍,陝西,易經
1481,第三甲,第三十名,歐陽,軍籍,江西,春秋
1481,第三甲,第三十一名,王,民籍,浙江,易經
1481,第三甲,第三十二名,宋,軍籍,河南,詩經
1481,第三甲,第三十三名,馬,民籍,四川,詩經
1481,第三甲,第三十四名,張,軍籍,山東,詩經
1481,第三甲,第三十五名,李,民籍,河南,春秋
1481,第三甲,第三十六名,陳,民籍,浙江,易經
1481,第三甲,第三十七名,蔣,民籍,直隸,詩經
1481,第三甲,第三十八名,程,民籍,河南,春秋
1481,第三甲,第三十九名,侯,民籍,河南,易經
1481,第三甲,第四十名,陳,民籍,福建,詩經
1481,第三甲,第四十一名,李,民籍,湖廣,詩經
1481,第三甲,第四十二名,孫,民籍,江西,易經
1481,第三甲,第四十三名,胡,官籍,直隸,書經
1481,第三甲,第四十四名,王,軍籍,直隸,詩經
1481,第三甲,第四十五名,湯,民籍,江西,書經
1481,第三甲,第四十六名,黃,民籍,福建,易經
1481,第三甲,第四十七名,黃,民籍,山東,春秋
1481,第三甲,第四十八名,王,官籍,福建,春秋
1481,第三甲,第四十九名,張,民籍,直隸,詩經
1481,第三甲,第五十名,余,匠籍,浙江,易經
1481,第三甲,第五十一名,郭,軍籍,浙江,詩經
1481,第三甲,第五十二名,蕭,民籍,四川,書經
1481,第三甲,第五十三名,鄧,軍籍,廣東,書經
1481,第三甲,第五十四名,李,民籍,四川,詩經
1481,第三甲,第五十五名,張,軍籍,山西,書經
1481,第三甲,第五十六名,鄒,民籍,山東,易經
1481,第三甲,第五十七名,樊,軍籍,福建,詩經
1481,第三甲,第五十八名,呂,匠籍,直隸,書經
1481,第三甲,第五十九名,劉,民籍,陝西,詩經
1481,第三甲,第六十名,葉,民籍,福建,詩經
1481,第三甲,第六十一名,楊,匠籍,直隸,易經
1481,第三甲,第六十二名,寧,軍籍,山西,詩經
1481,第三甲,第六十三名,張,民籍,直隸,詩經
1481,第三甲,第六十四名,張,軍籍,江西,詩經
1481,第三甲,第六十五名,陳,軍籍,直隸,詩經
1481,第三甲,第六十六名,葉,民籍,直隸,詩經
1481,第三甲,第六十七名,張,鹽籍,福建,詩經
1481,第三甲,第六十八名,楊,軍籍,河南,書經
1481,第三甲,第六十九名,趙,軍籍,雲南,詩經
1481,第三甲,第七十名,劉,民籍,陝西,易經
1481,第三甲,第七十一名,張,軍籍,直隸,詩經
1481,第三甲,第七十二名,李,民籍,直隸,詩經
1481,第三甲,第七十三名,王,軍籍,山西,易經
1481,第三甲,第七十四名,廖,民籍,四川,書經
1481,第三甲,第七十五名,汪,民籍,江西,易經
1481,第三甲,第七十六名,傅,民籍,江西,詩經
1481,第三甲,第七十七名,汪,民籍,江西,書經
1481,第三甲,第七十八名,黃,民籍,直隸,書經
1481,第三甲,第七十九名,榮,軍籍,陝西,詩經
1481,第三甲,第八十名,常,軍籍,河南,禮記
1481,第三甲,第八十一名,王,民籍,山西,書經
1481,第三甲,第八十二名,韓,民籍,直隸,詩經
1481,第三甲,第八十三名,林,軍籍,福建,書經
1481,第三甲,第八十四名,周,官籍,直隸,詩經
1481,第三甲,第八十五名,張,民籍,陝西,詩經
1481,第三甲,第八十六名,李,軍籍,直隸,易經
1481,第三甲,第八十七名,馬,軍籍,四川,詩經
1481,第三甲,第八十八名,梁,軍籍,河南,詩經
1481,第三甲,第八十九名,梁,民籍,廣東,書經
1481,第三甲,第九十名,王,民籍,四川,詩經
1481,第三甲,第九十一名,張,軍籍,陝西,書經
1481,第三甲,第九十二名,張,民籍,四川,詩經
1481,第三甲,第九十三名,袁,民籍,浙江,詩經
1481,第三甲,第九十四名,林,民籍,福建,易經
1481,第三甲,第九十五名,曹,軍籍,河南,詩經
1481,第三甲,第九十六名,張,軍籍,江西,書經
1481,第三甲,第九十七名,梅,官籍,河南,書經
1481,第三甲,第九十八名,曾,民籍,廣東,詩經
1481,第三甲,第九十九名,張,民籍,直隸,詩經
1481,第三甲,第一百名,張,軍籍,順天,書經
1481,第三甲,第一百零一名,朱,民籍,直隸,易經
1481,第三甲,第一百零二名,周,民籍,江西,易經
1481,第三甲,第一百零三名,李,軍籍,山西,詩經
1481,第三甲,第一百零四名,姜,民籍,浙江,詩經
1481,第三甲,第一百零五名,倪,匠籍,福建,易經
1481,第三甲,第一百零六名,吳,軍籍,浙江,禮記
1481,第三甲,第一百零七名,黃,民籍,湖廣,禮記
1481,第三甲,第一百零八名,林,民籍,福建,禮記
1481,第三甲,第一百零九名,蔡,軍籍,湖廣,書經
1481,第三甲,第一百一十名,劉,民籍,直隸,詩經
1481,第三甲,第一百一十一名,汪,民籍,四川,易經
1481,第三甲,第一百一十二名,劉,站籍,湖廣,書經
1481,第三甲,第一百一十三名,何,民籍,順天,易經
1481,第三甲,第一百一十四名,魯,軍籍,湖廣,詩經
1481,第三甲,第一百一十五名,劉,民籍,江西,書經
1481,第三甲,第一百一十六名,陳,官籍,湖廣,禮記
